tag,sentence
strong effort,"You put in strong effort and stay focused, even when the work is challenging."
strong effort,You take responsibility for your work and follow through consistently.
strong understanding,You show a strong understanding of key ideas and can apply them in new situations.
strong understanding,"You explain your thinking clearly, which shows real comprehension."
strong collaboration,You contribute positively in class and work well with others.
strong collaboration,You listen respectfully and help group work run smoothly.
improve consistency,A next step is building more consistency so your work stays steady from week to week.
improve consistency,Try starting earlier and spreading work out to reduce last-minute stress.
ask sooner,Try asking questions or seeking help sooner when something feels confusing.
ask sooner,Reaching out earlier will help you stay confident and keep making progress.
check work,"One helpful habit is checking your work carefully before turning it in, especially on multi-step tasks."
check work,Slow down at the end and do a quick final review to catch small mistakes.